date,series,value
2024-01-07,Core,118000
2024-01-07,Growth,98000
2024-02-04,Core,121000
2024-02-04,Growth,101000
2024-03-03,Core,116000
2024-03-03,Growth,106000
2024-03-31,Core,110000
2024-03-31,Growth,112000
2024-04-28,Core,104000
2024-04-28,Growth,119000
2024-05-26,Core,101000
2024-05-26,Growth,123000
2024-06-23,Core,108000
2024-06-23,Growth,126000
2024-07-21,Core,118000
2024-07-21,Growth,124000
2024-08-18,Core,132000
2024-08-18,Growth,120000
2024-09-15,Core,144000
2024-09-15,Growth,118000
2024-10-13,Core,151000
2024-10-13,Growth,123000
2024-11-10,Core,147000
2024-11-10,Growth,134000
2024-12-08,Core,138000
2024-12-08,Growth,147000
2025-01-05,Core,130000
2025-01-05,Growth,156000
2025-02-02,Core,128000
2025-02-02,Growth,162000
2025-03-02,Core,135000
2025-03-02,Growth,158000
2025-03-30,Core,149000
2025-03-30,Growth,150000
2025-04-27,Core,163000
2025-04-27,Growth,147000
2025-05-25,Core,172000
2025-05-25,Growth,151000
2025-06-29,Core,168000
2025-06-29,Growth,158000
