date,region,value
2024-01-01,North,30000
2024-01-01,South,25000
2024-01-01,East,40000
2024-01-01,West,15000
2024-02-01,North,32000
2024-02-01,South,24000
2024-02-01,East,38000
2024-02-01,West,17000
2024-03-01,North,35000
2024-03-01,South,26000
2024-03-01,East,36000
2024-03-01,West,18000
2024-04-01,North,38000
2024-04-01,South,28000
2024-04-01,East,35000
2024-04-01,West,20000
2024-05-01,North,40000
2024-05-01,South,27000
2024-05-01,East,34000
2024-05-01,West,22000
2024-06-01,North,42000
2024-06-01,South,29000
2024-06-01,East,32000
2024-06-01,West,25000
2024-07-01,North,45000
2024-07-01,South,30000
2024-07-01,East,30000
2024-07-01,West,28000
2024-08-01,North,48000
2024-08-01,South,32000
2024-08-01,East,28000
2024-08-01,West,32000
2024-09-01,North,50000
2024-09-01,South,33000
2024-09-01,East,27000
2024-09-01,West,36000
2024-10-01,North,52000
2024-10-01,South,35000
2024-10-01,East,26000
2024-10-01,West,40000
2024-11-01,North,55000
2024-11-01,South,37000
2024-11-01,East,24000
2024-11-01,West,45000
2024-12-01,North,58000
2024-12-01,South,38000
2024-12-01,East,22000
2024-12-01,West,50000
