date,series,value
2024-01-07,Core,118000
2024-01-07,Growth,109500
2024-01-07,Enterprise,141000
2024-01-07,Partner,119000
2024-01-07,International,105500
2024-01-07,Self-Serve,80000
2024-01-14,Core,121000
2024-01-14,Growth,112500
2024-01-14,Enterprise,142500
2024-01-14,Partner,119500
2024-01-14,International,105000
2024-01-14,Self-Serve,80000
2024-01-21,Core,124000
2024-01-21,Growth,115000
2024-01-21,Enterprise,144000
2024-01-21,Partner,119500
2024-01-21,International,104500
2024-01-21,Self-Serve,80000
2024-01-28,Core,127000
2024-01-28,Growth,117000
2024-01-28,Enterprise,145000
2024-01-28,Partner,119500
2024-01-28,International,104000
2024-01-28,Self-Serve,80000
2024-02-04,Core,129500
2024-02-04,Growth,118500
2024-02-04,Enterprise,146000
2024-02-04,Partner,119500
2024-02-04,International,103500
2024-02-04,Self-Serve,80500
2024-02-11,Core,132000
2024-02-11,Growth,120000
2024-02-11,Enterprise,146500
2024-02-11,Partner,119000
2024-02-11,International,103000
2024-02-11,Self-Serve,81000
2024-02-18,Core,134000
2024-02-18,Growth,121000
2024-02-18,Enterprise,147000
2024-02-18,Partner,118500
2024-02-18,International,102500
2024-02-18,Self-Serve,81500
2024-02-25,Core,136000
2024-02-25,Growth,121500
2024-02-25,Enterprise,147000
2024-02-25,Partner,117500
2024-02-25,International,101500
2024-02-25,Self-Serve,82000
2024-03-03,Core,137500
2024-03-03,Growth,121500
2024-03-03,Enterprise,146500
2024-03-03,Partner,117000
2024-03-03,International,101000
2024-03-03,Self-Serve,83000
2024-03-10,Core,138500
2024-03-10,Growth,121500
2024-03-10,Enterprise,146000
2024-03-10,Partner,116000
2024-03-10,International,100500
2024-03-10,Self-Serve,84000
2024-03-17,Core,139500
2024-03-17,Growth,120500
2024-03-17,Enterprise,145500
2024-03-17,Partner,114500
2024-03-17,International,100000
2024-03-17,Self-Serve,85000
2024-03-24,Core,139500
2024-03-24,Growth,119000
2024-03-24,Enterprise,144000
2024-03-24,Partner,113500
2024-03-24,International,99500
2024-03-24,Self-Serve,86000
2024-03-31,Core,139500
2024-03-31,Growth,117500
2024-03-31,Enterprise,142500
2024-03-31,Partner,112000
2024-03-31,International,99000
2024-03-31,Self-Serve,87000
2024-04-07,Core,138500
2024-04-07,Growth,115000
2024-04-07,Enterprise,141000
2024-04-07,Partner,110000
2024-04-07,International,98000
2024-04-07,Self-Serve,87500
2024-04-14,Core,137000
2024-04-14,Growth,112000
2024-04-14,Enterprise,138500
2024-04-14,Partner,108000
2024-04-14,International,97500
2024-04-14,Self-Serve,88000
2024-04-21,Core,134500
2024-04-21,Growth,108500
2024-04-21,Enterprise,136000
2024-04-21,Partner,106000
2024-04-21,International,96500
2024-04-21,Self-Serve,88500
2024-04-28,Core,132000
2024-04-28,Growth,105000
2024-04-28,Enterprise,133000
2024-04-28,Partner,103500
2024-04-28,International,95500
2024-04-28,Self-Serve,89000
2024-05-05,Core,129500
2024-05-05,Growth,101500
2024-05-05,Enterprise,130500
2024-05-05,Partner,101500
2024-05-05,International,94500
2024-05-05,Self-Serve,89500
2024-05-12,Core,127000
2024-05-12,Growth,98000
2024-05-12,Enterprise,128000
2024-05-12,Partner,100000
2024-05-12,International,94000
2024-05-12,Self-Serve,90000
2024-05-19,Core,125000
2024-05-19,Growth,95500
2024-05-19,Enterprise,126000
2024-05-19,Partner,99000
2024-05-19,International,94500
2024-05-19,Self-Serve,91500
2024-05-26,Core,123500
2024-05-26,Growth,94000
2024-05-26,Enterprise,125500
2024-05-26,Partner,99500
2024-05-26,International,96000
2024-05-26,Self-Serve,93500
2024-06-02,Core,123000
2024-06-02,Growth,93500
2024-06-02,Enterprise,125500
2024-06-02,Partner,100500
2024-06-02,International,98000
2024-06-02,Self-Serve,96500
2024-06-09,Core,123000
2024-06-09,Growth,93500
2024-06-09,Enterprise,126500
2024-06-09,Partner,103000
2024-06-09,International,101500
2024-06-09,Self-Serve,100000
2024-06-16,Core,124000
2024-06-16,Growth,95000
2024-06-16,Enterprise,128500
2024-06-16,Partner,105500
2024-06-16,International,105000
2024-06-16,Self-Serve,104000
2024-06-23,Core,125000
2024-06-23,Growth,96500
2024-06-23,Enterprise,131000
2024-06-23,Partner,109000
2024-06-23,International,109500
2024-06-23,Self-Serve,108000
2024-06-30,Core,126500
2024-06-30,Growth,99000
2024-06-30,Enterprise,133500
2024-06-30,Partner,113000
2024-06-30,International,113500
2024-06-30,Self-Serve,112500
2024-07-07,Core,128000
2024-07-07,Growth,101000
2024-07-07,Enterprise,136000
2024-07-07,Partner,116500
2024-07-07,International,117500
2024-07-07,Self-Serve,116000
2024-07-14,Core,129000
2024-07-14,Growth,103500
2024-07-14,Enterprise,138500
2024-07-14,Partner,120500
2024-07-14,International,121000
2024-07-14,Self-Serve,119500
2024-07-21,Core,130500
2024-07-21,Growth,106000
2024-07-21,Enterprise,140500
2024-07-21,Partner,124000
2024-07-21,International,124500
2024-07-21,Self-Serve,122000
2024-07-28,Core,131500
2024-07-28,Growth,108500
2024-07-28,Enterprise,142500
2024-07-28,Partner,127500
2024-07-28,International,127500
2024-07-28,Self-Serve,124500
2024-08-04,Core,132500
2024-08-04,Growth,111000
2024-08-04,Enterprise,144500
2024-08-04,Partner,131000
2024-08-04,International,130000
2024-08-04,Self-Serve,126000
2024-08-11,Core,133500
2024-08-11,Growth,113500
2024-08-11,Enterprise,146500
2024-08-11,Partner,134000
2024-08-11,International,132000
2024-08-11,Self-Serve,127500
2024-08-18,Core,134500
2024-08-18,Growth,116000
2024-08-18,Enterprise,148500
2024-08-18,Partner,137000
2024-08-18,International,134000
2024-08-18,Self-Serve,128500
2024-08-25,Core,136000
2024-08-25,Growth,118500
2024-08-25,Enterprise,150000
2024-08-25,Partner,139500
2024-08-25,International,135500
2024-08-25,Self-Serve,129500
2024-09-01,Core,137500
2024-09-01,Growth,121500
2024-09-01,Enterprise,152000
2024-09-01,Partner,141500
2024-09-01,International,137000
2024-09-01,Self-Serve,130000
2024-09-08,Core,139000
2024-09-08,Growth,124500
2024-09-08,Enterprise,153500
2024-09-08,Partner,143500
2024-09-08,International,138000
2024-09-08,Self-Serve,130500
2024-09-15,Core,141000
2024-09-15,Growth,127500
2024-09-15,Enterprise,155000
2024-09-15,Partner,144500
2024-09-15,International,139000
2024-09-15,Self-Serve,130500
2024-09-22,Core,143000
2024-09-22,Growth,131000
2024-09-22,Enterprise,157000
2024-09-22,Partner,145000
2024-09-22,International,140000
2024-09-22,Self-Serve,131000
2024-09-29,Core,145500
2024-09-29,Growth,134000
2024-09-29,Enterprise,158500
2024-09-29,Partner,146000
2024-09-29,International,141000
2024-09-29,Self-Serve,131500
2024-10-06,Core,148000
2024-10-06,Growth,137500
2024-10-06,Enterprise,160000
2024-10-06,Partner,146500
2024-10-06,International,142000
2024-10-06,Self-Serve,132000
2024-10-13,Core,150500
2024-10-13,Growth,140500
2024-10-13,Enterprise,161500
2024-10-13,Partner,147000
2024-10-13,International,142500
2024-10-13,Self-Serve,133000
2024-10-20,Core,152500
2024-10-20,Growth,143500
2024-10-20,Enterprise,162500
2024-10-20,Partner,147500
2024-10-20,International,143000
2024-10-20,Self-Serve,133500
2024-10-27,Core,155000
2024-10-27,Growth,146000
2024-10-27,Enterprise,163000
2024-10-27,Partner,148000
2024-10-27,International,143500
2024-10-27,Self-Serve,134500
2024-11-03,Core,157000
2024-11-03,Growth,148000
2024-11-03,Enterprise,163500
2024-11-03,Partner,148000
2024-11-03,International,143500
2024-11-03,Self-Serve,135000
2024-11-10,Core,158500
2024-11-10,Growth,150000
2024-11-10,Enterprise,163000
2024-11-10,Partner,148000
2024-11-10,International,143000
2024-11-10,Self-Serve,136000
