state,population,median_income,poverty_rate,unemployment
California,39538223,78672,0.113,0.073
Texas,29145505,63826,0.134,0.065
Florida,21538187,59227,0.121,0.049
New York,20201249,72108,0.131,0.067
Pennsylvania,13002700,63627,0.119,0.061
Illinois,12812508,69187,0.112,0.059
Ohio,11799448,58642,0.136,0.055
Georgia,10711908,61980,0.131,0.052
North Carolina,10439388,57341,0.133,0.054
Michigan,10077331,59234,0.139,0.062
New Jersey,9288994,85751,0.099,0.063
Virginia,8631393,76398,0.097,0.048
Washington,7614893,77006,0.107,0.057
Arizona,7151502,62055,0.141,0.059
Massachusetts,7029917,84385,0.104,0.058
Tennessee,6910840,54833,0.132,0.051
Indiana,6785528,57603,0.126,0.048
Maryland,6177224,87063,0.093,0.055
Missouri,6154913,57290,0.129,0.047
Wisconsin,5893718,63293,0.111,0.042
Colorado,5773714,77127,0.093,0.053
Minnesota,5706494,74593,0.094,0.044
South Carolina,5118425,54864,0.139,0.051
Alabama,5024279,52035,0.158,0.049
Louisiana,4657757,51073,0.191,0.063
Kentucky,4505836,52238,0.159,0.054
Oregon,4237256,67058,0.115,0.057
Oklahoma,3959353,53840,0.152,0.046
Connecticut,3605944,79855,0.098,0.061
Utah,3271616,74197,0.087,0.041
