id,state,name,population,gdp
1,AL,Alabama,5024279,232000
2,AK,Alaska,733391,54000
4,AZ,Arizona,7151502,387000
5,AR,Arkansas,3011524,137000
6,CA,California,39538223,3598000
8,CO,Colorado,5773714,416000
9,CT,Connecticut,3605944,289000
10,DE,Delaware,989948,77000
12,FL,Florida,21538187,1111000
13,GA,Georgia,10711908,627000
15,HI,Hawaii,1455271,90000
16,ID,Idaho,1839106,89000
17,IL,Illinois,12812508,892000
18,IN,Indiana,6785528,397000
19,IA,Iowa,3190369,197000
20,KS,Kansas,2937880,180000
21,KY,Kentucky,4505836,225000
22,LA,Louisiana,4657757,258000
23,ME,Maine,1362359,73000
24,MD,Maryland,6177224,426000
25,MA,Massachusetts,7029917,607000
26,MI,Michigan,10077331,545000
27,MN,Minnesota,5706494,395000
28,MS,Mississippi,2961279,125000
29,MO,Missouri,6154913,344000
30,MT,Montana,1084225,55000
31,NE,Nebraska,1961504,139000
32,NV,Nevada,3104614,176000
33,NH,New Hampshire,1377529,90000
34,NJ,New Jersey,9288994,669000
35,NM,New Mexico,2117522,107000
36,NY,New York,20201249,1772000
37,NC,North Carolina,10439388,608000
38,ND,North Dakota,779094,57000
39,OH,Ohio,11799448,704000
40,OK,Oklahoma,3959353,203000
41,OR,Oregon,4237256,265000
42,PA,Pennsylvania,13002700,811000
44,RI,Rhode Island,1097379,63000
45,SC,South Carolina,5118425,255000
46,SD,South Dakota,886667,56000
47,TN,Tennessee,6910840,391000
48,TX,Texas,29145505,1887000
49,UT,Utah,3271616,203000
50,VT,Vermont,643077,34000
51,VA,Virginia,8631393,556000
53,WA,Washington,7614893,619000
54,WV,West Virginia,1793716,80000
55,WI,Wisconsin,5893718,355000
56,WY,Wyoming,576851,37000
