id,name,population,gdp
4,Afghanistan,38928346,19810
8,Albania,2877797,15279
12,Algeria,43851044,170000
24,Angola,32866272,65760
32,Argentina,45195774,383068
36,Australia,25499884,1392681
40,Austria,9006398,446315
50,Bangladesh,164689383,324239
56,Belgium,11589623,529607
76,Brazil,212559417,1444733
100,Bulgaria,6948445,67938
124,Canada,37742154,1643408
156,China,1439323776,14722844
170,Colombia,50882891,271347
180,Congo,89561403,47228
203,Czech Republic,10708981,250682
208,Denmark,5792202,355675
818,Egypt,102334404,361873
246,Finland,5540720,269259
250,France,65273511,2715518
276,Germany,83783942,3806060
300,Greece,10423054,189410
356,India,1380004385,2870506
360,Indonesia,273523615,1058424
364,Iran,83992949,231547
372,Ireland,4937786,425889
380,Italy,60461826,2001244
392,Japan,126476461,5064873
404,Kenya,53771296,95503
410,South Korea,51269185,1630868
484,Mexico,128932753,1268870
504,Morocco,36910560,119700
528,Netherlands,17134872,907051
554,New Zealand,4822233,206929
566,Nigeria,206139589,432294
578,Norway,5421241,362521
586,Pakistan,220892340,263687
604,Peru,32971854,226848
608,Philippines,109581078,361489
616,Poland,37846611,594165
620,Portugal,10196709,237948
642,Romania,19237691,250077
643,Russia,145934462,1483498
682,Saudi Arabia,34813871,700118
710,South Africa,59308690,351432
724,Spain,46754778,1393490
752,Sweden,10099265,531766
756,Switzerland,8654622,703082
764,Thailand,69799978,501795
792,Turkey,84339067,720098
804,Ukraine,43733762,153781
826,United Kingdom,67886011,2825208
840,United States,331002651,21427700
704,Vietnam,97338579,261921
